mse:0.9776557087898254 mae:0.7401314377784729 mape:1.1376433372497559
mse:0.959581196308136 mae:0.7033599615097046 mape:1.0034910440444946
mse:1.2131938934326172 mae:0.7609139084815979 mape:1.8636280298233032
mse:0.11655112355947495 mae:0.25240758061408997 mape:1.2327533960342407
mse:0.6512210965156555 mae:0.5958959460258484 mape:1.0508882999420166
mse:1.1009368896484375 mae:0.8005104064941406 mape:1.0324876308441162
mse:0.7510706186294556 mae:0.6384420394897461 mape:1.0147664546966553
mse:0.5787935256958008 mae:0.5721148252487183 mape:1.9557183980941772
mse:0.686533510684967 mae:0.6364455223083496 mape:1.0011522769927979
mse:0.883460521697998 mae:0.6197413206100464 mape:1.002020239830017
mse:0.9065211415290833 mae:0.7217730283737183 mape:1.049619197845459
mse:1.5715434551239014 mae:0.7990559935569763 mape:1.0816280841827393
mse:0.7728188037872314 mae:0.6738921999931335 mape:1.397499442100525
mse:0.556675910949707 mae:0.5007429718971252 mape:1.2575911283493042
mse:0.6950045228004456 mae:0.6419793963432312 mape:1.0072120428085327
mse:1.264585018157959 mae:0.8542712330818176 mape:1.0177820920944214
mse:1.3420137166976929 mae:0.8351131677627563 mape:1.1019878387451172
mse:1.469372034072876 mae:0.8213391900062561 mape:1.0025442838668823
mse:0.5664058327674866 mae:0.5435411334037781 mape:1.3591121435165405
mse:0.6631456017494202 mae:0.5854204893112183 mape:1.0709847211837769
mse:0.974490225315094 mae:0.7233605980873108 mape:1.0964621305465698
mse:1.6196885108947754 mae:0.8951131701469421 mape:1.0707143545150757
mse:0.6254205703735352 mae:0.5911779403686523 mape:1.0674721002578735
mse:0.733004629611969 mae:0.6410264372825623 mape:1.13942551612854
mse:0.7878099083900452 mae:0.611984372138977 mape:1.2322758436203003
mse:1.000548243522644 mae:0.7766562104225159 mape:1.1657123565673828
mse:0.8624600768089294 mae:0.6819508671760559 mape:1.0475752353668213
mse:0.5619478225708008 mae:0.5388253927230835 mape:1.5221272706985474
mse:1.1309186220169067 mae:0.808486819267273 mape:1.0099539756774902
mse:0.7086097598075867 mae:0.618206799030304 mape:1.086529016494751
mse:1.748052716255188 mae:0.9872319102287292 mape:1.0240237712860107
mse:0.6796472072601318 mae:0.6144882440567017 mape:1.1189734935760498
mse:0.5834225416183472 mae:0.5485061407089233 mape:2.9877052307128906
mse:0.8900941610336304 mae:0.7179616093635559 mape:1.0261404514312744
mse:0.8823864459991455 mae:0.7336121797561646 mape:1.0207749605178833
mse:0.6923208236694336 mae:0.6039161086082458 mape:0.9998260140419006
mse:0.8455313444137573 mae:0.6948299407958984 mape:1.2154096364974976
mse:0.8969001173973083 mae:0.7372086048126221 mape:1.0369282960891724
mse:0.6594193577766418 mae:0.6125853657722473 mape:1.1822553873062134
mse:0.9733882546424866 mae:0.7270980477333069 mape:1.149582862854004
mse:1.681583285331726 mae:0.9203495979309082 mape:1.8020620346069336
mse:1.1879554986953735 mae:0.7849400043487549 mape:1.0196173191070557
mse:1.205039620399475 mae:0.8431311249732971 mape:1.0702921152114868
mse:0.6841235160827637 mae:0.5986802577972412 mape:1.077228307723999
mse:0.7033906579017639 mae:0.6219130754470825 mape:1.3747084140777588
mse:0.6038466691970825 mae:0.5555046200752258 mape:1.0372488498687744
mse:1.6618318557739258 mae:0.947396993637085 mape:1.3168654441833496
mse:1.3878297805786133 mae:0.8538001775741577 mape:1.0290122032165527
mse:0.8733218312263489 mae:0.7376052737236023 mape:1.0217220783233643
mse:1.1214780807495117 mae:0.7923412322998047 mape:1.0312745571136475
mse:0.7569584250450134 mae:0.6540068984031677 mape:1.0298504829406738
mse:0.6836533546447754 mae:0.6002840995788574 mape:1.1146515607833862
mse:0.5087933540344238 mae:0.5461123585700989 mape:1.434875249862671
mse:1.735153317451477 mae:0.9618315100669861 mape:1.135847806930542
mse:1.0091317892074585 mae:0.7363828420639038 mape:2.686070442199707
mse:0.713391125202179 mae:0.6400092244148254 mape:1.0137592554092407
mse:0.9829177856445312 mae:0.7133110165596008 mape:1.0559031963348389
mse:3.2695701122283936 mae:0.8480484485626221 mape:1.062713623046875
mse:1.3785490989685059 mae:0.8904345035552979 mape:1.0357402563095093
mse:0.7322534322738647 mae:0.6142939329147339 mape:1.0987415313720703
mse:0.6585404276847839 mae:0.5892829298973083 mape:1.0063825845718384
mse:0.6172287464141846 mae:0.5855391621589661 mape:1.1107786893844604
mse:0.8149001598358154 mae:0.6133347153663635 mape:1.2308204174041748
mse:0.5814700126647949 mae:0.5637348890304565 mape:1.0366874933242798
mse:0.48930853605270386 mae:0.5267006754875183 mape:1.0553970336914062
mse:0.9597952961921692 mae:0.7325029373168945 mape:1.0281167030334473
mse:1.4444633722305298 mae:0.8513699173927307 mape:1.2166823148727417
mse:0.6003774404525757 mae:0.539819598197937 mape:1.9744791984558105
mse:0.8122347593307495 mae:0.6880359053611755 mape:1.0162560939788818
mse:1.2235515117645264 mae:0.8215985298156738 mape:1.0773085355758667
mse:1.4652656316757202 mae:0.8580042123794556 mape:1.3111745119094849
mse:0.9903882145881653 mae:0.7426862716674805 mape:1.1492940187454224
mse:0.9542689919471741 mae:0.7011975646018982 mape:1.034278154373169
mse:1.2139792442321777 mae:0.7588030099868774 mape:1.370031476020813
mse:0.11466534435749054 mae:0.25063350796699524 mape:1.3957736492156982
mse:0.6486235857009888 mae:0.5944949388504028 mape:1.0588911771774292
mse:1.0983198881149292 mae:0.7997819185256958 mape:1.0866491794586182
mse:0.7310184240341187 mae:0.6319465637207031 mape:1.0728718042373657
mse:0.5646634101867676 mae:0.5659070014953613 mape:2.1244921684265137
mse:0.682317316532135 mae:0.6338748931884766 mape:1.0241315364837646
mse:0.8896885514259338 mae:0.6176058053970337 mape:1.0192772150039673
mse:0.9001458287239075 mae:0.7175984382629395 mape:1.027417540550232
mse:1.4634872674942017 mae:0.7903651595115662 mape:1.025488257408142
mse:0.7746526002883911 mae:0.6744486093521118 mape:1.4258960485458374
mse:0.5836004018783569 mae:0.5322498679161072 mape:2.08418607711792
mse:0.6916695237159729 mae:0.6400062441825867 mape:1.0034784078598022
mse:1.2526954412460327 mae:0.8506695628166199 mape:1.0300689935684204
mse:1.3397674560546875 mae:0.8339482545852661 mape:1.0243405103683472
mse:1.4478514194488525 mae:0.8149523735046387 mape:1.0403943061828613
mse:0.5575219988822937 mae:0.5429402589797974 mape:1.6098048686981201
mse:0.6571095585823059 mae:0.5832390785217285 mape:1.0485038757324219
mse:0.9753300547599792 mae:0.7244400382041931 mape:1.014694333076477
mse:1.5680683851242065 mae:0.8866580128669739 mape:1.015403151512146
mse:0.6198083758354187 mae:0.5877384543418884 mape:1.0749956369400024
mse:0.7253432273864746 mae:0.6380942463874817 mape:1.0230846405029297
mse:0.7527071237564087 mae:0.6031954884529114 mape:1.1629724502563477
mse:0.977069079875946 mae:0.7675561308860779 mape:1.0799376964569092
